Burnaby Campus
+------+----------------------+--------+---------+--------+---------+
| Rank | Author               | Added  | Deleted | Actual | Commits |
| 4    | MasonYoung24          | +2280  | -1356   | 924    | 54      |
| 5    | lechiben              | +2155  | -1109   | 1046   | 17      |
| 6    | senukzzzzz            | +1822  | -372    | 1450   | 7       |
| 7    | the-scholiast         | +1809  | -1098   | 711    | 24      |
| 8    | ttrinh0               | +1766  | -369    | 1397   | 30      |
| 9    | CCY-0124              | +1657  | -239    | 1418   | 18      |
| 10   | gurpreetsingh9414     | +1441  | -711    | 730    | 10      |
| 11   | dcao1205              | +1159  | -580    | 579    | 11      |
| 12   | go-gitbread           | +1126  | -864    | 262    | 26      |
| 13   | wandereryiu           | +853   | -465    | 388    | 13      |
| 14   | asazinator            | +819   | -190    | 629    | 9       |
| 15   | courtneylum           | +760   | -149    | 611    | 27      |
| 16   | Choudoufuhezi         | +716   | -188    | 528    | 16      |
| 17   | klockwork3            | +708   | -43     | 665    | 25      |
| 18   | ivanekavalashvili     | +664   | -80     | 584    | 9       |
| 19   | falconnor4            | +538   | -62     | 476    | 9       |
| 20   | kowalbcit             | +446   | -83     | 363    | 9       |
| 21   | Mahyar-Golestanpour   | +445   | -145    | 300    | 11      |
| 22   | Ritchotte             | +440   | -338    | 102    | 6       |
| 23   | xxderek               | +421   | -37     | 384    | 5       |
| 24   | StanislavRudenkoko    | +420   | -126    | 294    | 13      |
| 25   | Kookie-rose           | +403   | -86     | 317    | 13      |
| 26   | anthonyherradura      | +366   | -8      | 358    | 7       |
| 27   | Fossa88               | +329   | -221    | 108    | 8       |
| 28   | JoNoToPo              | +326   | -137    | 189    | 18      |
| 29   | Playurge              | +285   | -121    | 164    | 13      |
| 30   | achepakovich          | +241   | -29     | 212    | 8       |
| 31   | nmushir               | +227   | -46     | 181    | 3       |
| 32   | bdberge               | +191   | -86     | 105    | 13      |
| 33   | lawr-lau16            | +144   | -0      | 144    | 1       |
| 34   | ttyw24                | +144   | -0      | 144    | 1       |
| 35   | bberryw31             | +135   | -135    | 0      | 10      |
| 36   | Shokisnipes           | +61    | -1      | 60     | 3       |
| 37   | afuntsev1             | +46    | -6      | 40     | 2       |
| 38   | rockoac5              | +40    | -9      | 31     | 2       |
| 39   | Benjaminyoungiscoding | +14    | -5      | 9      | 1       |
| 40   | QuinnDM               | +1     | -1      | 0      | 1       |
| 41   | joshxkanashi          | +1     | -1      | 0      | 1       |
+------+-----------------------+--------+---------+--------+---------+

