+------+-----------------------+--------+---------+--------+---------+
| Rank | Author                | Added  | Deleted | Actual | Commits |
| 101  | Verokeli              | +237   | -28     | 209    | 7       |
| 102  | nmushir               | +227   | -46     | 181    | 3       |
| 103  | hari-s-p              | +219   | -37     | 182    | 6       |
| 104  | Vfxnature             | +212   | -259    | -47    | 10      |
| 105  | cmorris49             | +206   | -46     | 160    | 8       |
| 106  | indyg01               | +204   | -24     | 180    | 6       |
| 107  | MarvinYeung           | +202   | -2      | 200    | 2       |
| 108  | bdberge               | +191   | -86     | 105    | 13      |
| 109  | harshaanBCIT          | +183   | -1      | 182    | 1       |
| 110  | totemedel             | +174   | -40     | 134    | 7       |
| 111  | nicoagostini          | +170   | -76     | 94     | 6       |
| 112  | mskim9097             | +148   | -4      | 144    | 5       |
| 113  | gagan215              | +146   | -8      | 138    | 3       |
| 114  | lawr-lau16            | +144   | -0      | 144    | 1       |
| 115  | ttyw24                | +144   | -0      | 144    | 1       |
| 116  | bberryw31             | +135   | -135    | 0      | 10      |
| 117  | hyelim2100            | +89    | -24     | 65     | 4       |
| 118  | Indigomist            | +69    | -2      | 67     | 2       |
| 119  | Shokisnipes           | +61    | -1      | 60     | 3       |
| 120  | summit4               | +55    | -29     | 26     | 2       |
| 121  | afuntsev1             | +46    | -6      | 40     | 2       |
| 122  | rockoac5              | +40    | -9      | 31     | 2       |
| 123  | BaltajP06             | +39    | -0      | 39     | 1       |
| 124  | ndizo                 | +22    | -2      | 20     | 4       |
| 125  | Benjaminyoungiscoding | +14    | -5      | 9      | 1       |
| 126  | enand2025             | +11    | -2      | 9      | 2       |
| 127  | H8GEL                 | +7     | -3      | 4      | 4       |
| 128  | aarushisharma1110     | +4     | -4      | 0      | 4       |
| 129  | LikeEm-Apples         | +4     | -0      | 4      | 1       |
| 130  | emphs                 | +2     | -1      | 1      | 2       |
| 131  | CALVINC-bcit          | +2     | -0      | 2      | 1       |
| 132  | KirilT-18             | +2     | -2      | 0      | 3       |
| 133  | Hali-Negi             | +1     | -1      | 0      | 1       |
| 134  | KokoseiJ              | +1     | -2      | -1     | 2       |
| 135  | QuinnDM               | +1     | -1      | 0      | 1       |
| 136  | joshxkanashi          | +1     | -1      | 0      | 1       |
+------+-----------------------+--------+---------+--------+---------+

